<DATE>,<CLOSE>,<HIGH>,<LOW>,<OPEN>,<VOL>,secid
2005-08-03,79810.0,80100.0,79810.0,80000.0,958.0,RTS
2005-08-04,80270.0,80270.0,79100.0,79100.0,4686.0,RTS
2005-08-05,81050.0,81150.0,80045.0,81150.0,5743.0,RTS
2005-08-08,81705.0,82400.0,81020.0,81120.0,7087.0,RTS
2005-08-09,81620.0,82490.0,80200.0,82000.0,12419.0,RTS
2005-08-10,81670.0,82050.0,81350.0,81850.0,6337.0,RTS
2005-08-11,81050.0,81880.0,81010.0,81850.0,12134.0,RTS
2005-08-12,81000.0,81300.0,80550.0,81200.0,11064.0,RTS
2005-08-15,81590.0,81600.0,80780.0,81000.0,25975.0,RTS
2005-08-16,84060.0,84290.0,81700.0,81700.0,25271.0,RTS
2005-08-17,85200.0,85390.0,83705.0,84025.0,28883.0,RTS
2005-08-18,83920.0,85200.0,83350.0,84965.0,28911.0,RTS
2005-08-19,85320.0,85450.0,83800.0,83850.0,22371.0,RTS
2005-08-22,85780.0,86405.0,85385.0,86405.0,24460.0,RTS
2005-08-23,85850.0,86100.0,85480.0,85950.0,24890.0,RTS
2005-08-24,86000.0,86330.0,85305.0,85750.0,28943.0,RTS
2005-08-25,86400.0,86450.0,85705.0,85985.0,18497.0,RTS
2005-08-26,86890.0,87100.0,86300.0,86395.0,17247.0,RTS
2005-08-29,87120.0,87450.0,86690.0,86950.0,15505.0,RTS
2005-08-30,87480.0,88545.0,87450.0,87500.0,17044.0,RTS
2005-08-31,87600.0,87660.0,86410.0,87520.0,21124.0,RTS
2005-09-01,88970.0,89440.0,88000.0,88000.0,15928.0,RTS
2005-09-02,90100.0,90200.0,89105.0,89300.0,24759.0,RTS
2005-09-05,90405.0,90605.0,90150.0,90505.0,21779.0,RTS
2005-09-06,88110.0,90300.0,87005.0,90300.0,23241.0,RTS
2005-09-07,87300.0,89100.0,86800.0,88100.0,29740.0,RTS
2005-09-08,87800.0,87800.0,86800.0,87800.0,22236.0,RTS
2005-09-09,90380.0,90380.0,87990.0,88000.0,21318.0,RTS
2005-09-12,89500.0,90800.0,89455.0,90100.0,8209.0,RTS
2005-09-13,88700.0,89555.0,88550.0,89100.0,8634.0,RTS
2005-09-14,88895.0,88990.0,87400.0,88400.0,13569.0,RTS
2005-09-15,90700.0,90735.0,89000.0,89000.0,25085.0,RTS
2005-09-16,91410.0,94000.0,90100.0,94000.0,21543.0,RTS
2005-09-19,92800.0,93000.0,91460.0,91650.0,22235.0,RTS
2005-09-20,91500.0,94990.0,90350.0,93200.0,25459.0,RTS
2005-09-21,94600.0,94600.0,90050.0,91200.0,20499.0,RTS
2005-09-22,94700.0,96190.0,94400.0,95000.0,20883.0,RTS
2005-09-23,95600.0,96150.0,94605.0,94605.0,19073.0,RTS
2005-09-26,94250.0,95100.0,93960.0,94700.0,10163.0,RTS
2005-09-27,96270.0,96360.0,94650.0,94650.0,12091.0,RTS
2005-09-28,96850.0,97550.0,95800.0,96150.0,8604.0,RTS
2005-09-29,97000.0,97480.0,96615.0,97120.0,15398.0,RTS
2005-09-30,98100.0,98250.0,97050.0,97150.0,10103.0,RTS
2005-10-03,100920.0,100920.0,98100.0,98250.0,11547.0,RTS
2005-10-04,101230.0,102500.0,100930.0,100930.0,14158.0,RTS
2005-10-05,98170.0,101080.0,97815.0,101080.0,13862.0,RTS
2005-10-06,94100.0,98600.0,93835.0,97300.0,15494.0,RTS
2005-10-07,94675.0,97000.0,93910.0,94050.0,22170.0,RTS
2005-10-10,96840.0,96900.0,95000.0,95000.0,7890.0,RTS
2005-10-11,99770.0,99800.0,96300.0,96600.0,12261.0,RTS
2005-10-12,95550.0,100150.0,95500.0,99805.0,18176.0,RTS
2005-10-13,92600.0,95495.0,91700.0,95440.0,21220.0,RTS
2005-10-14,89530.0,92660.0,89530.0,92650.0,18602.0,RTS
2005-10-17,90305.0,90800.0,89300.0,90550.0,23568.0,RTS
2005-10-18,90320.0,91300.0,90000.0,90945.0,18809.0,RTS
2005-10-19,88400.0,89750.0,88350.0,88750.0,13674.0,RTS
2005-10-20,88550.0,89800.0,88525.0,89400.0,17457.0,RTS
2005-10-21,89800.0,90995.0,86070.0,87410.0,11411.0,RTS
2005-10-24,91340.0,91350.0,89005.0,89005.0,28723.0,RTS
2005-10-25,90500.0,92400.0,90000.0,92100.0,18711.0,RTS
2005-10-26,91050.0,91650.0,90105.0,90655.0,19448.0,RTS
2005-10-27,89300.0,91000.0,89055.0,90900.0,16023.0,RTS
2005-10-28,91750.0,91880.0,88500.0,88505.0,22568.0,RTS
2005-10-31,94200.0,94200.0,91850.0,91950.0,21825.0,RTS
2005-11-01,95250.0,96395.0,94000.0,94100.0,20418.0,RTS
2005-11-02,97150.0,97500.0,95400.0,95400.0,20844.0,RTS
2005-11-03,97400.0,97600.0,96160.0,97405.0,17497.0,RTS
2005-11-07,96700.0,97240.0,95500.0,96800.0,17094.0,RTS
2005-11-08,96620.0,97100.0,95310.0,96600.0,15385.0,RTS
2005-11-09,95500.0,97650.0,95420.0,96900.0,16872.0,RTS
2005-11-10,95000.0,97000.0,95000.0,96200.0,18435.0,RTS
2005-11-11,95805.0,96450.0,94000.0,95800.0,17024.0,RTS
2005-11-14,97385.0,97440.0,96040.0,96200.0,19294.0,RTS
2005-11-15,97450.0,98495.0,96700.0,97395.0,21186.0,RTS
2005-11-16,97390.0,97590.0,96730.0,97360.0,24246.0,RTS
2005-11-17,100190.0,100500.0,97800.0,97800.0,16718.0,RTS
2005-11-18,98550.0,100330.0,98205.0,100330.0,18638.0,RTS
2005-11-21,99655.0,100590.0,99000.0,99000.0,16464.0,RTS
2005-11-22,99800.0,100350.0,99155.0,99850.0,12864.0,RTS
2005-11-23,99730.0,100510.0,99730.0,100130.0,18309.0,RTS
2005-11-24,100985.0,100995.0,99705.0,99880.0,7685.0,RTS
2005-11-25,102400.0,102500.0,100815.0,100950.0,7799.0,RTS
2005-11-28,102905.0,103700.0,102790.0,102900.0,10138.0,RTS
2005-11-29,102850.0,102955.0,101020.0,102200.0,16548.0,RTS
2005-11-30,102870.0,103200.0,102015.0,102650.0,13854.0,RTS
